iter	Passed	Remaining
661	36700	18738
662	36744	18676
663	36797	18620
664	36875	18576
665	36966	18538
666	37025	18484
667	37072	18425
668	37116	18364
669	37163	18304
670	37208	18243
671	37257	18185
672	37308	18127
673	37353	18067
674	37402	18008
675	37454	17951
676	37502	17892
677	37563	17839
678	37600	17775
679	37642	17714
680	37689	17654
681	37725	17590
682	37783	17536
683	37831	17477
684	37864	17412
685	37916	17355
686	37969	17299
687	38010	17237
688	38057	17178
689	38106	17120
690	38156	17062
691	38204	17004
692	38257	16948
693	38305	16889
694	38348	16829
695	38386	16766
696	38439	16710
697	38493	16654
698	38537	16594
699	38584	16536
700	38623	16474
701	38676	16418
702	38716	16356
703	38761	16297
704	38817	16242
705	38856	16180
706	38904	16123
707	38956	16066
708	39001	16007
709	39047	15948
710	39114	15898
711	39204	15858
712	39312	15824
713	39402	15782
714	39449	15724
715	39499	15667
716	39543	15607
717	39589	15548
718	39641	15492
719	39690	15435
720	39744	15379
721	39793	15322
722	39836	15262
723	39880	15202
724	39920	15142
725	39964	15083
726	40004	15022
727	40049	14963
728	40100	14906
729	40142	14847
730	40187	14788
731	40237	14731
732	40286	14674
733	40331	14616
734	40385	14560
735	40448	14508
736	40500	14452
737	40554	14397
738	40604	14340
739	40668	14288
740	40712	14229
741	40749	14168
742	40799	14112
743	40883	14067
744	40931	14010
745	40974	13950
746	41018	13892
747	41063	13834
748	41109	13776
749	41155	13718
750	41197	13659
751	41249	13603
752	41297	13546
753	41360	13494
754	41432	13444
755	41487	13390
756	41537	13333
757	41588	13277
758	41637	13220
759	41724	13176
760	41820	13134
761	41878	13080
762	41916	13019
763	41967	12963
764	42016	12906
765	42060	12848
766	42110	12792
767	42154	12734
768	42204	12677
769	42245	12618
770	42285	12559
771	42335	12503
772	42386	12447
773	42436	12391
774	42492	12336
775	42543	12280
776	42592	12224
777	42642	12167
778	42684	12109
779	42734	12053
780	42777	11995
781	42832	11940
782	42876	11882
783	42928	11827
784	42977	11770
785	43025	11714
786	43082	11660
787	43118	11600
788	43161	11542
789	43207	11485
790	43252	11428
791	43297	11370
792	43344	11314
793	43391	11257
794	43438	11201
