UNIT,TAILS,KG,SALES PER KG,ABW,CHICKEN SIZE,PROVINCE,YEAR,MONTH,DAY,SupplyProvince,DemandProvince,Holiday
PELALAWAN,712,1178.0,18000.0,1.654494382,MEDIUM,RIAU,19,12,8,10851716,7309435,1
PURWAKARTA,1386,2794.2,17480.0,2.016017316,LARGE,JAWA BARAT,19,12,8,64997688,51933021,1
LAMONGAN,5203,9331.0,16412.19591,1.79338843,MEDIUM,JAWA TIMUR,19,12,8,36715663,43989186,1
PARUNG,3810,6121.8,18050.0,1.606771654,MEDIUM,JAWA BARAT,19,12,8,64997688,51933021,1
SUKABUMI,1856,2894.4,17575.0,1.559482759,MEDIUM,JAWA BARAT,19,12,8,64997688,51933021,1
PANDEGLANG,4839,8623.0,18242.21222,1.781979748,MEDIUM,BANTEN,19,12,8,16349469,13433846,1
BANDAR LAMPUNG,5512,12815.2,15675.0,2.324963716,LARGE,LAMPUNG,19,12,8,5404511,5618463,1
WONOGIRI,2482,5648.0,16150.0,2.275584206,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
SRAGEN,2861,5700.0,16387.5,1.992310381,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
UNGARAN,1502,2850.0,16485.23333,1.89747004,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
KUDUS,2416,5062.0,16501.3143,2.095198675,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
BLORA,1502,2850.0,16625.0,1.89747004,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
PURWAKARTA,2520,5327.2,17575.0,2.113968254,LARGE,JAWA BARAT,19,12,8,64997688,51933021,1
YOGYAKARTA,1444,2850.0,16150.0,1.973684211,MEDIUM,DI YOGYAKARTA,19,12,8,4206148,6313628,1
SALATIGA,1422,2850.0,15794.02,2.004219409,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
MAGELANG,2816,5909.0,16150.0,2.098366477,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
KLATEN,2647,5700.0,16150.0,2.153381186,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
TEBING TINGGI,9138,18051.4,18599.20006,1.975421318,MEDIUM,SUMATERA UTARA,19,12,8,10364174,11238306,1
RANTAU PRAPAT,11092,23704.4,18156.76372,2.137071763,LARGE,SUMATERA UTARA,19,12,8,10364174,11238306,1
PEMATANG SIANTAR,9206,13033.0,18874.0198,1.415707148,SMALL,SUMATERA UTARA,19,12,8,10364174,11238306,1
MEDAN,7371,14333.4,18155.37486,1.944566545,MEDIUM,SULAWESI UTARA,19,12,8,418044,1591997,1
KISARAN,4748,7611.8,18641.22809,1.603159225,MEDIUM,SUMATERA UTARA,19,12,8,10364174,11238306,1
BINJAI,2221,4231.4,18500.01418,1.905177848,MEDIUM,SUMATERA UTARA,19,12,8,10364174,11238306,1
BANDA ACEH,14897,24772.72,18945.98897,1.662933477,MEDIUM,ACEH,19,12,8,2687246,3930723,1
ASAHAN,3970,6993.4,18500.0,1.761561713,MEDIUM,SUMATERA UTARA,19,12,8,10364174,11238306,1
SIJUNJUNG,1548,3513.6,15088.48474,2.269767442,LARGE,SUMATERA BARAT,19,12,8,3885216,5993194,1
PAYAKUMBUH,2944,4663.8,16762.03954,1.584171196,MEDIUM,SUMATERA BARAT,19,12,8,3885216,5993194,1
KEDIRI,19977,38175.0,16442.48592,1.91094759,MEDIUM,JAWA TIMUR,19,12,8,36715663,43989186,1
BULUKUMBA,7536,16862.8,20743.91857,2.237632696,LARGE,SUMATERA SELATAN,19,12,8,5758528,7021239,1
SINGOSARI,2380,5146.0,16465.30315,2.162184874,LARGE,JAWA TIMUR,19,12,8,36715663,43989186,1
NEGARA,12894,26277.0,17083.21441,2.037924616,LARGE,BALI,19,12,8,5120529,5141045,1
LOMBOK,2415,4596.5,16408.10399,1.903312629,MEDIUM,NUSA TENGGARA BARAT,19,12,8,2511500,3624396,1
KLUNGKUNG,5063,7862.25,18676.58749,1.552883666,MEDIUM,BALI,19,12,8,5120529,5141045,1
KEDIRI BALI,16179,24610.5,17680.97966,1.521138513,MEDIUM,BALI,19,12,8,5120529,5141045,1
KARANGASEM,6333,13659.75,17888.98955,2.156916153,LARGE,BALI,19,12,8,5120529,5141045,1
GIANYAR,8500,13812.5,17664.32579,1.625,MEDIUM,BALI,19,12,8,5120529,5141045,1
DENPASAR,5995,10192.5,17662.2026,1.700166806,MEDIUM,BALI,19,12,8,5120529,5141045,1
BADUNG,4932,9528.0,17597.4365,1.931873479,MEDIUM,BALI,19,12,8,5120529,5141045,1
TEBING TINGGI,1920,3433.6,16952.1776,1.788333333,MEDIUM,SUMATERA UTARA,19,12,8,10364174,11238306,1
PEMATANG SIANTAR,3328,3265.6,17562.43569,0.98125,SMALL,SUMATERA UTARA,19,12,8,10364174,11238306,1
MEDAN,11182,16070.3,17522.92403,1.437157932,SMALL,SULAWESI UTARA,19,12,8,418044,1591997,1
SINGARAJA,12317,25748.5,17480.17846,2.090484696,LARGE,BALI,19,12,8,5120529,5141045,1
BINJAI,2048,3257.5,17425.41366,1.590576172,MEDIUM,SUMATERA UTARA,19,12,8,10364174,11238306,1
KEDIRI,3944,6120.5,16674.58541,1.551850913,MEDIUM,JAWA TIMUR,19,12,8,36715663,43989186,1
BOJONEGORO,2308,3197.5,17250.0,1.385398614,SMALL,JAWA TIMUR,19,12,8,36715663,43989186,1
SINGOSARI,1730,3124.0,16500.0,1.805780347,MEDIUM,JAWA TIMUR,19,12,8,36715663,43989186,1
PROBOLINGGO,3733,6581.5,16673.60404,1.763059202,MEDIUM,JAWA TIMUR,19,12,8,36715663,43989186,1
JEMBER,3808,6244.0,16679.62444,1.639705882,MEDIUM,JAWA TIMUR,19,12,8,36715663,43989186,1
BLITAR,3168,5752.5,16679.36549,1.815814394,MEDIUM,JAWA TIMUR,19,12,8,36715663,43989186,1
PONOROGO,2156,3541.5,16850.0,1.642625232,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
PURBALINGGA,1813,3000.0,18410.665,1.65471594,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
PURWAKARTA,1920,3237.4,17300.0,1.686145833,MEDIUM,JAWA BARAT,19,12,8,64997688,51933021,1
PARUNG,9600,15420.0,17933.38262,1.60625,MEDIUM,JAWA BARAT,19,12,8,64997688,51933021,1
BOJONEGORO,7790,15082.5,16462.94381,1.936136072,MEDIUM,JAWA TIMUR,19,12,8,36715663,43989186,1
LAMONGAN,1960,2213.5,17250.0,1.129336735,SMALL,JAWA TIMUR,19,12,8,36715663,43989186,1
TABANAN,5270,8642.5,18045.03905,1.639943074,MEDIUM,BALI,19,12,8,5120529,5141045,1
CIREBON,2040,3548.5,17000.0,1.739460784,MEDIUM,JAWA BARAT,19,12,8,64997688,51933021,1
SUKABUMI,3019,5367.0,18544.69909,1.777740974,MEDIUM,JAWA BARAT,19,12,8,64997688,51933021,1
PANDEGLANG,1160,2084.0,19124.01152,1.796551724,MEDIUM,BANTEN,19,12,8,16349469,13433846,1
MALANG,16375,35762.6,16267.98667,2.183975573,LARGE,JAWA TIMUR,19,12,8,36715663,43989186,1
PROBOLINGGO,10829,21858.5,16472.87097,2.018515098,LARGE,JAWA TIMUR,19,12,8,36715663,43989186,1
BLITAR,8195,16912.2,16429.59875,2.063721782,LARGE,JAWA TIMUR,19,12,8,36715663,43989186,1
WONOGIRI,3958,8846.5,16905.67456,2.235093482,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
PONOROGO,13369,23251.0,16500.0,1.739172713,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
MADIUN,16773,30738.0,16500.0,1.832588088,MEDIUM,JAWA TIMUR,19,12,8,36715663,43989186,1
UNGARAN,5132,10561.6,17310.45296,2.057989088,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
SEMARANG,4916,11943.2,17160.86141,2.429454841,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
KUDUS,21395,37474.0,16860.19694,1.751530731,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
DEMAK,7320,14831.4,16524.28092,2.026147541,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
BLORA,13328,32980.8,16500.0,2.47454982,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
JEMBER,5395,10807.0,16500.0,2.003151066,LARGE,JAWA TIMUR,19,12,8,36715663,43989186,1
PURWOKERTO,14252,30599.5,17479.08463,2.147031996,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
TEGAL,1603,2700.0,17911.11111,1.684341859,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
MAGELANG,14412,35764.4,16810.84374,2.481570913,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
YOGYAKARTA,2703,5930.7,16836.28239,2.194117647,LARGE,DI YOGYAKARTA,19,12,8,4206148,6313628,1
PARUNG,4000,5597.2,19000.0,1.3993,SMALL,JAWA BARAT,19,12,8,64997688,51933021,1
PURWAKARTA,11645,25563.8,18289.5219,2.195259768,LARGE,JAWA BARAT,19,12,8,64997688,51933021,1
KULONPROGO,1855,2826.2,14700.0,1.523557951,MEDIUM,DI YOGYAKARTA,19,12,8,4206148,6313628,1
CIREBON,4434,7822.0,18500.0,1.764095625,MEDIUM,JAWA BARAT,19,12,8,64997688,51933021,1
BREBES,9895,18997.0,17704.1875,1.919858514,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
PEKALONGAN,9957,21295.5,17255.68782,2.13874661,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
PURBALINGGA,7584,15692.5,17492.90425,2.069158755,LARGE,JAWA TENGAH,19,12,8,57880193,32000912,1
GARUT,3716,6834.4,18700.0,1.839181916,MEDIUM,JAWA BARAT,19,12,8,64997688,51933021,1
KLATEN,5302,9397.8,16969.00551,1.772500943,MEDIUM,JAWA TENGAH,19,12,8,57880193,32000912,1
BONE,4883,10203.7,20481.13919,2.089637518,LARGE,SUMATERA SELATAN,19,12,9,5758528,7021239,0
PALOPO,10070,20199.2,22154.5779,2.005878848,LARGE,SULAWESI SELATAN,19,12,9,5447863,5931514,0
BULUKUMBA,5010,11500.1,21013.53032,2.295429142,LARGE,SUMATERA SELATAN,19,12,9,5758528,7021239,0
GORONTALO,2700,4967.1,24402.49844,1.839666667,MEDIUM,GORONTALO,19,12,9,108310,521596,0
GOWA,10030,18291.2,21300.5653,1.823649053,MEDIUM,SULAWESI SELATAN,19,12,9,5447863,5931514,0
KENDARI,9860,16609.9,25067.234,1.684574037,MEDIUM,SULAWESI TENGGARA,19,12,9,109780,858620,0
MAKASAR,5600,11675.2,21370.43477,2.084857143,LARGE,SULAWESI SELATAN,19,12,9,5447863,5931514,0
MAMUJU,7850,14719.1,22842.25938,1.875044586,MEDIUM,SULAWESI BARAT,19,12,9,109780,498595,0
MANADO,5098,11049.8,22186.79976,2.167477442,LARGE,SULAWESI UTARA,19,12,9,418044,1591997,0
MAROS,8865,13609.9,21909.38214,1.535239707,MEDIUM,SULAWESI SELATAN,19,12,9,5447863,5931514,0
BANDAR LAMPUNG,5202,10326.4,18182.54571,1.985082661,MEDIUM,LAMPUNG,19,12,9,5404511,5618463,0
PARE-PARE(SIDRAP),10295,21488.6,21242.22844,2.08728509,LARGE,SULAWESI SELATAN,19,12,9,5447863,5931514,0
SENGKANG,10822,24489.7,21730.12532,2.262955091,LARGE,SULAWESI SELATAN,19,12,9,5447863,5931514,0
SINJAI,5205,11598.4,20495.44334,2.228318924,LARGE,SULAWESI SELATAN,19,12,9,5447863,5931514,0
BANDAR JAYA,8943,14990.2,18428.60269,1.676193671,MEDIUM,LAMPUNG,19,12,9,5404511,5618463,0
METRO,10305,14833.6,18373.35374,1.439456574,SMALL,LAMPUNG,19,12,9,5404511,5618463,0
PRINGSEWU,5180,8033.0,18592.68019,1.550772201,MEDIUM,LAMPUNG,19,12,9,5404511,5618463,0
TANJUNG BINTANG,16610,31329.8,18179.22872,1.886201084,MEDIUM,LAMPUNG,19,12,9,5404511,5618463,0
TULANG BAWANG,6525,12378.4,18461.50553,1.897072797,MEDIUM,LAMPUNG,19,12,9,5404511,5618463,0
BANYUASIN,3978,6900.2,18118.69221,1.734590246,MEDIUM,SUMATERA SELATAN,19,12,9,5758528,7021239,0
BENGKULU,6628,12025.2,17919.31943,1.814302957,MEDIUM,BENGKULU,19,12,9,554903,1339242,0
PALU,6370,12519.9,24555.26003,1.96544741,MEDIUM,SULAWESI TENGAH,19,12,9,277314,1276180,0
TANJUNG,10360,18551.8,19815.97365,1.790714286,MEDIUM,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
MOJOKERTO,8624,19600.0,17529.33673,2.272727273,LARGE,JAWA TIMUR,19,12,9,36715663,43989186,0
SANGATTA,3540,4700.0,22896.78723,1.327683616,SMALL,KALIMANTAN TIMUR,19,12,9,2993382,5379063,0
JAMBI,10577,15414.2,17448.82251,1.457331947,SMALL,JAMBI,19,12,9,2027640,3139312,0
SOLO,3102,7620.5,17000.0,2.456640877,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
SRAGEN,1769,3807.0,17000.0,2.152063313,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
WONOGIRI,2340,5278.0,17007.57863,2.255555556,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
BLITAR,12597,26995.0,17331.58548,2.142970549,LARGE,JAWA TIMUR,19,12,9,36715663,43989186,0
JEMBER,8105,16736.0,17460.74331,2.064898211,LARGE,JAWA TIMUR,19,12,9,36715663,43989186,0
MALANG,10824,23435.1,17251.44121,2.165105322,LARGE,JAWA TIMUR,19,12,9,36715663,43989186,0
PROBOLINGGO,9669,20395.0,17397.46997,2.10931844,LARGE,JAWA TIMUR,19,12,9,36715663,43989186,0
SINGOSARI,5464,9027.0,17234.72915,1.652086384,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
BOJONEGORO,17665,27595.5,17336.92993,1.562156807,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
KEDIRI,11398,20394.0,17403.13327,1.789261274,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
LAMONGAN,1875,3123.0,17483.98975,1.6656,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
TULUNGAGUNG,10888,21522.5,17254.59868,1.976717487,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
BALIKPAPAN,4580,6252.5,21423.07077,1.365174672,SMALL,KALIMANTAN TIMUR,19,12,9,2993382,5379063,0
BANJARBARU,12435,23872.6,19334.82612,1.919790913,MEDIUM,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
BANJARMASIN,13255,24003.5,19118.90349,1.810901547,MEDIUM,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
BARABAI,8638,17195.2,19643.46736,1.990645983,MEDIUM,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
PELAIHARI,7115,14707.6,19442.66978,2.067125791,LARGE,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
PENAJAM PASER UTARA,21560,42641.7,21855.62091,1.977815399,MEDIUM,KALIMANTAN TIMUR,19,12,9,2993382,5379063,0
PONTIANAK,13585,21571.32,20303.94524,1.587877806,MEDIUM,KALIMANTAN BARAT,19,12,9,4751179,3735503,0
SAMARINDA,4270,6374.1,22667.68642,1.492763466,SMALL,KALIMANTAN TIMUR,19,12,9,2993382,5379063,0
SEPINGGAN,2600,4920.7,23239.85815,1.892576923,MEDIUM,KALIMANTAN TIMUR,19,12,9,2993382,5379063,0
LUBUKLINGGAU,14942,31822.2,18088.25914,2.129714898,LARGE,SUMATERA SELATAN,19,12,9,5758528,7021239,0
BOGOR,1386,2893.0,17888.43588,2.087301587,LARGE,JAWA BARAT,19,12,9,64997688,51933021,0
MUAROBUNGO,8156,19115.0,16814.12294,2.343673369,LARGE,JAMBI,19,12,9,2027640,3139312,0
PURWAKARTA,1512,3021.4,17385.0,1.998280423,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
CIANJUR,1408,2811.8,17575.0,1.997017045,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
DEMAK,1378,2850.0,16625.0,2.068214804,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
KUDUS,2584,5700.0,16445.39175,2.205882353,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
UNGARAN,2882,5700.0,16625.0,1.977793199,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
SOLO,1063,2850.0,16150.0,2.681091251,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
SRAGEN,2726,5700.0,16625.0,2.090975789,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
WONOGIRI,2999,5700.0,16625.0,1.900633545,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
BLITAR,7735,14346.0,16625.00007,1.85468649,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
MALANG,2986,5950.5,16625.00008,1.992799732,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
SINGOSARI,1632,2719.5,16625.00018,1.666360294,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
TULUNGAGUNG,2912,6051.1,16427.87361,2.077987637,LARGE,JAWA TIMUR,19,12,9,36715663,43989186,0
BANDAR JAYA,1536,3289.0,16625.0,2.141276042,LARGE,LAMPUNG,19,12,9,5404511,5618463,0
BANDAR LAMPUNG,3712,9956.8,16625.0,2.682327586,LARGE,LAMPUNG,19,12,9,5404511,5618463,0
SUKABUMI,1890,2912.6,17575.0,1.541058201,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
TANGERANG,6078,8732.6,18525.0,1.436755512,SMALL,BANTEN,19,12,9,16349469,13433846,0
WABIN,1160,2838.2,18050.0,2.446724138,LARGE,JAWA TIMUR,19,12,9,36715663,43989186,0
KARAWANG,2304,3159.8,18525.0,1.371440972,SMALL,JAWA BARAT,19,12,9,64997688,51933021,0
PARUNG,1536,2858.8,18050.0,1.861197917,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
SUBANG(P),7620,12259.6,18028.47679,1.608871391,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
PONOROGO,21670,37144.0,16970.38553,1.714074758,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
PARUNG,1512,2769.8,18050.0,1.831878307,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
MUARAENIM,19808,41890.6,17323.82683,2.114832391,LARGE,SUMATERA SELATAN,19,12,9,5758528,7021239,0
YOGYAKARTA,1408,2850.0,16625.0,2.024147727,LARGE,DI YOGYAKARTA,19,12,9,4206148,6313628,0
MAGELANG,2614,5703.0,16625.0,2.181713849,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
PALEMBANG,6352,11202.7,18190.63262,1.763649244,MEDIUM,SUMATERA SELATAN,19,12,9,5758528,7021239,0
50 KOTA,5369,9078.6,18252.60503,1.69092941,MEDIUM,SUMATERA BARAT,19,12,9,3885216,5993194,0
BANGKINANG,2460,3111.8,20001.09262,1.26495935,SMALL,RIAU,19,12,9,10851716,7309435,0
MUARO JAMBI,5363,10476.8,17500.0,1.95353347,MEDIUM,JAMBI,19,12,9,2027640,3139312,0
PADANG,1532,2576.6,18884.92587,1.681853786,MEDIUM,SUMATERA BARAT,19,12,9,3885216,5993194,0
PARIAMAN,5745,9604.8,18719.44236,1.671853786,MEDIUM,SUMATERA BARAT,19,12,9,3885216,5993194,0
PAYAKUMBUH,4614,9013.6,17611.53146,1.953532726,MEDIUM,SUMATERA BARAT,19,12,9,3885216,5993194,0
PEKANBARU,1282,2440.4,18365.92362,1.903588144,MEDIUM,RIAU,19,12,9,10851716,7309435,0
PELALAWAN,1232,2379.8,18810.7404,1.931655844,MEDIUM,RIAU,19,12,9,10851716,7309435,0
RENGAT,2337,4180.8,18840.8917,1.788960205,MEDIUM,RIAU,19,12,9,10851716,7309435,0
SIJUNJUNG,9121,18718.4,17667.88294,2.052231115,LARGE,SUMATERA BARAT,19,12,9,3885216,5993194,0
ASAHAN,5723,8335.6,19828.61462,1.456508824,SMALL,SUMATERA UTARA,19,12,9,10364174,11238306,0
BANDA ACEH,10425,16369.4,19421.9611,1.570206235,MEDIUM,ACEH,19,12,9,2687246,3930723,0
BINJAI,5268,9969.9,19233.2551,1.892539863,MEDIUM,SUMATERA UTARA,19,12,9,10364174,11238306,0
KISARAN,3054,4869.6,19690.15936,1.594499018,MEDIUM,SUMATERA UTARA,19,12,9,10364174,11238306,0
MEDAN,7287,14775.2,18716.6705,2.027610814,LARGE,SULAWESI UTARA,19,12,9,418044,1591997,0
PEMATANG SIANTAR,4834,7221.4,19247.1266,1.493876707,SMALL,SUMATERA UTARA,19,12,9,10364174,11238306,0
RANTAU PRAPAT,10897,24029.2,18256.55244,2.205120675,LARGE,SUMATERA UTARA,19,12,9,10364174,11238306,0
TEBING TINGGI,7534,12962.4,19165.45239,1.720520308,MEDIUM,SUMATERA UTARA,19,12,9,10364174,11238306,0
KLATEN,1388,2850.0,16625.0,2.053314121,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
KULONPROGO,1333,2850.0,16625.0,2.138034509,LARGE,DI YOGYAKARTA,19,12,9,4206148,6313628,0
SALATIGA,1544,2850.0,16625.0,1.845854922,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
MADIUN,16548,24200.0,17000.0,1.462412376,SMALL,JAWA TIMUR,19,12,9,36715663,43989186,0
NEGARA,17196,29955.5,18652.16738,1.742003954,MEDIUM,BALI,19,12,9,5120529,5141045,0
SEMARANG,8182,18851.2,17500.0,2.303984356,LARGE,JAWA TENGAH,19,12,9,57880193,32000912,0
SRAGEN,2978,5265.8,16349.91131,1.768233714,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
WONOGIRI,3072,5400.0,16470.63481,1.7578125,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
BLITAR,5767,9745.5,17073.76481,1.689873418,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
JEMBER,4224,6527.5,16929.34891,1.545336174,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
MALANG,5757,9737.6,17000.0,1.691436512,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
PROBOLINGGO,4708,6162.5,17047.25761,1.308942226,SMALL,JAWA TIMUR,19,12,9,36715663,43989186,0
SINGOSARI,1768,2802.5,17000.0,1.585124434,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
KEDIRI,2448,2841.6,17250.0,1.160784314,SMALL,JAWA TIMUR,19,12,9,36715663,43989186,0
LAMONGAN,4080,5510.0,17109.30127,1.350490196,SMALL,JAWA TIMUR,19,12,9,36715663,43989186,0
SOLO,5972,10861.0,16564.36433,1.818653717,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
TULUNGAGUNG,7741,11751.0,17060.12893,1.518020928,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
BANJARMASIN,1680,2703.8,18182.5209,1.609404762,MEDIUM,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
BARABAI,1680,2557.3,16725.9903,1.522202381,MEDIUM,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
PELAIHARI,5030,7877.4,17771.89441,1.566083499,MEDIUM,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
TANJUNG,1680,2896.9,14856.58808,1.724345238,MEDIUM,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
BONE,2000,3336.23,18194.15388,1.668115,MEDIUM,SUMATERA SELATAN,19,12,9,5758528,7021239,0
MAROS,2000,2221.5,18170.09858,1.11075,SMALL,SULAWESI SELATAN,19,12,9,5447863,5931514,0
PARE-PARE(SIDRAP),4000,6590.78,18129.86976,1.647695,MEDIUM,SULAWESI SELATAN,19,12,9,5447863,5931514,0
SINJAI,2000,3262.26,17860.49089,1.63113,MEDIUM,SULAWESI SELATAN,19,12,9,5447863,5931514,0
BANDAR JAYA,2304,2909.4,17579.81749,1.262760417,SMALL,LAMPUNG,19,12,9,5404511,5618463,0
BANJARBARU,5680,6956.9,17815.55822,1.224806338,SMALL,KALIMANTAN SELATAN,19,12,9,5294465,4280602,0
PONOROGO,3176,5220.0,15790.26897,1.643576826,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
MADIUN,1662,2850.0,15385.20596,1.714801444,MEDIUM,JAWA TIMUR,19,12,9,36715663,43989186,0
SEMARANG,3323,5700.0,15761.21825,1.715317484,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
KARANGASEM,1500,2098.5,17769.77841,1.399,SMALL,BALI,19,12,9,5120529,5141045,0
SINGARAJA,2250,3488.5,17038.47614,1.550444444,MEDIUM,BALI,19,12,9,5120529,5141045,0
KLATEN,1536,2809.8,16711.43142,1.829296875,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
KULONPROGO,1536,2651.6,16388.29914,1.726302083,MEDIUM,DI YOGYAKARTA,19,12,9,4206148,6313628,0
MAGELANG,7898,10217.2,16174.77009,1.29364396,SMALL,JAWA TENGAH,19,12,9,57880193,32000912,0
SALATIGA,4067,5493.2,16162.17178,1.350676174,SMALL,JAWA TENGAH,19,12,9,57880193,32000912,0
YOGYAKARTA,1280,2366.0,16865.51479,1.8484375,MEDIUM,DI YOGYAKARTA,19,12,9,4206148,6313628,0
BOGOR,2048,3290.0,17700.0,1.606445313,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
PARUNG,3840,6215.2,17700.0,1.618541667,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
PELABUHAN RATU,1920,2923.2,17400.0,1.5225,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
BANDUNG,1920,3273.8,17130.0,1.705104167,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
CIANJUR,1858,3216.2,17300.0,1.731001076,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
CIPANAS,3840,6198.8,17700.0,1.614270833,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
TASIKMALAYA,5838,9689.2,17000.0,1.659677972,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
MAJALENGKA,3840,6251.0,17000.0,1.627864583,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
PEKALONGAN,2545,2850.0,15668.99158,1.119842829,SMALL,JAWA TENGAH,19,12,9,57880193,32000912,0
PURBALINGGA,2032,2104.0,16151.08317,1.035433071,SMALL,JAWA TENGAH,19,12,9,57880193,32000912,0
PURWOKERTO,1532,2916.0,16321.357,1.903394256,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
BLORA,3467,5700.0,15607.69035,1.644072685,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
DEMAK,3288,5350.0,16017.80729,1.627128954,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
KUDUS,8588,14252.0,15623.03901,1.659524918,MEDIUM,JAWA TENGAH,19,12,9,57880193,32000912,0
BANDAR LAMPUNG,10240,15443.6,16821.04173,1.508164063,MEDIUM,LAMPUNG,19,12,9,5404511,5618463,0
METRO,3840,5555.6,17326.06361,1.446770833,SMALL,LAMPUNG,19,12,9,5404511,5618463,0
KEDIRI BALI,2250,3501.0,17454.69751,1.556,MEDIUM,BALI,19,12,9,5120529,5141045,0
BINJAI,3840,6623.3,17182.18652,1.724817708,MEDIUM,SUMATERA UTARA,19,12,9,10364174,11238306,0
PARUNG,10327,18502.4,19024.73625,1.791652949,MEDIUM,JAWA BARAT,19,12,9,64997688,51933021,0
